Shop ID,Order ID,Workflow ID,Order date,Order confirmed time,Dining mode,Payment Mode,Order channel,Order status,Customer Uber Membership Status,Sales (excl. tax),Tax on sales,Refunds (excl. tax),Tax on refunds,Price adjustments (excl. tax),Tax on price adjustments,Promotions on items (excl tax),Tax on promotion on items,Promotions on items (incl tax),Delivery charge (excl tax),Tax on delivery fee,Promotions on delivery charge (excl tax),Tax on promotions on delivery charge,Promotions on delivery charge (incl tax),Bag fee,Delivery fee (excl tax),Tax on delivery fee,Delivery fee (incl tax),Service fee,Tax on service fee,Service fee discount,Net service fee,Discount adjustments,Profit on delivery,Tax adjustment,Other payments description,Other payments (incl. tax),Total payout ,Payout date,Payout status,Invoice link U2R ,Invoice link C2R ,Invoice link R2E ,Retailer Loyalty ID,Payout reference ID
,#FCD3E,a2e8f242-86a0-4459-801b-121de02fcd3e,2/1/2024,0:18,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,2720,0,0,0,0,0,-520,0,-520,149,0,0,0,0,0,141.33,0,141.33,-660,0,0,-660,0,7.67,0,,0,1547.67,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#56CAC,654f4b70-87af-423e-b133-f5ec1c956cac,2/1/2024,0:25,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,2970,0,0,0,0,0,-520,0,-520,204,0,0,0,0,0,136.63,0,136.63,-735,0,0,-735,0,67.37,0,,0,1782.37,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#31490,dfbcb64d-b815-40ca-ac79-b579c2831490,2/1/2024,0:12,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1350,0,0,0,0,0,0,0,0,194,0,0,0,0,0,406.33,0,406.33,-405,0,212.33,-192.67,0,0,0,,0,945,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#1767A,0404ad05-3251-4df7-b817-27057311767a,2/1/2024,0:32,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1500,0,0,0,0,0,0,0,0,300,0,0,0,0,0,354.95,0,354.95,-450,0,54.95,-395.05,0,0,0,,0,1050,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#EF08C,9ce12026-9767-440f-89b9-c593f76ef08c,2/1/2024,1:12,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Uber One member,2820,0,0,0,0,0,-520,0,-520,199,0,0,0,0,0,210.9,0,210.9,-690,0,11.9,-678.1,0,0,0,,0,1610,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#D002E,5db7c672-6ff4-484d-8395-4b18c7cd002e,2/1/2024,0:24,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,3720,0,0,0,0,0,-520,0,-520,199,0,0,0,0,0,420.1,0,420.1,-960,0,221.1,-738.9,0,0,0,,0,2240,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#22467,91a7c045-9093-4ceb-bb87-d6a6fe522467,2/1/2024,1:20,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1650,0,0,0,0,0,0,0,0,300,0,0,0,0,0,207.3,0,207.3,-495,0,0,-495,0,92.7,0,,0,1247.7,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#B4A97,d1bc3bd0-8c43-4f71-bae6-b6953e7b4a97,2/1/2024,1:43,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1350,0,0,0,0,0,0,0,0,139,0,0,0,0,0,133.97,0,133.97,-405,0,0,-405,0,5.03,0,,0,950.03,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#D946E,7be2dd25-81dd-4704-9790-63b132bd946e,2/1/2024,1:48,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1350,0,0,0,0,0,0,0,0,274,0,0,0,0,0,167.97,0,167.97,-405,0,0,-405,0,106.03,0,,0,1051.03,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9FECF,859f9488-a731-43a4-8805-01131179fecf,2/1/2024,1:36,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,5850,0,0,0,0,0,0,0,0,308,0,0,0,0,0,151.58,0,151.58,-1755,0,0,-1755,0,156.42,0,,0,4251.42,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#21F3A,0ec318c8-90cd-43de-95f3-da6075321f3a,2/1/2024,1:46,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,2775,0,0,0,0,0,0,0,0,328,0,0,0,0,0,332.12,0,332.12,-832.5,0,4.12,-828.38,0,0,0,,0,1942.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#E249C,d5f25dab-398f-4085-b382-69beb2fe249c,2/1/2024,2:20,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1250,0,0,0,0,0,0,0,0,189,0,0,0,0,0,134.74,0,134.74,-375,0,0,-375,0,54.26,0,,0,929.26,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9C116,abc9fdf8-4cb6-4634-b508-37505e99c116,2/1/2024,1:57,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1400,0,0,0,0,0,0,0,0,199,0,0,0,0,0,335.81,0,335.81,-420,0,136.81,-283.19,0,0,0,,0,980,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#449C2,e1dd08de-0039-42a9-b705-1b767e0449c2,2/1/2024,1:51,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Data not available,850,0,0,0,0,0,0,0,0,199,0,0,0,0,0,457.33,0,457.33,-255,0,258.33,0,3.33,0,0,,0,595,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#6A776,d45da4bb-8761-45a3-97f7-a9aa9b26a776,2/1/2024,2:24,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Data not available,1250,0,0,0,0,0,0,0,0,300,0,0,0,0,0,380.77,0,380.77,-375,0,80.77,-294.23,0,0,0,,0,875,8/1/2024,Paid,,,,,01QGXUUH0TSC
,,,2/1/2024,,,,Unknown,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad spend,-1442.89,-1442.89,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#ED923,8fcb7df3-922a-476b-9601-fef3758ed923,2/1/2024,18:37,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1650,0,0,0,0,0,0,0,0,204,0,0,0,0,0,290.68,0,290.68,-495,0,86.68,-408.32,0,0,0,,0,1155,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9369C,135a9fe0-2560-4370-8363-d4c44109369c,2/1/2024,19:00,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1950,0,0,0,0,0,0,0,0,199,0,0,0,0,0,320.05,0,320.05,-585,0,121.05,-463.95,0,0,0,,0,1365,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#B585E,1cf36ce5-23e4-4489-9786-4712fcdb585e,2/1/2024,19:15,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1700,0,0,0,0,0,0,0,0,199,0,0,0,0,0,235.23,0,235.23,-510,0,36.23,-473.77,0,0,0,,0,1190,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#FB633,fa8dfa13-712a-466d-9957-ac3c1f7fb633,2/1/2024,20:19,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1850,0,0,0,0,0,0,0,0,89,0,0,0,0,0,90.3,0,90.3,-555,0,1.3,-553.7,0,0,0,,0,1295,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#B1BD9,09f77eed-d84d-4b3c-8b4c-54ca2dfb1bd9,2/1/2024,20:53,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1275,0,0,0,0,0,0,0,0,109,0,0,0,0,0,159.89,0,159.89,-382.5,0,50.89,-331.61,0,0,0,,0,892.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#FE2C2,5c0d2bdf-e04d-46c3-8856-6ab5180fe2c2,2/1/2024,21:39,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1500,0,0,0,0,0,0,0,0,104,0,0,0,0,0,168.65,0,168.65,-450,0,64.65,-385.35,0,0,0,,0,1050,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#6A1A1,066abe6b-d7e6-4c36-afe1-0fb07c56a1a1,2/1/2024,21:48,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1700,0,0,0,0,0,0,0,0,199,0,0,0,0,0,287.6,0,287.6,-510,0,88.6,-421.4,0,0,0,,0,1190,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#2D67F,31dc8a16-2f8e-46cf-a9bd-bdd9d412d67f,2/1/2024,21:27,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Data not available,7000,0,0,0,0,0,0,0,0,328,0,0,0,0,0,336,0,336,-2100,0,8,-2092,0,0,0,,0,4900,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#8DB4B,d582590b-5fe1-4116-9899-c5897b18db4b,2/1/2024,22:51,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1400,0,0,0,0,0,0,0,0,308,0,0,0,0,0,229.43,0,229.43,-420,0,0,-420,0,78.57,0,,0,1058.57,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#29157,b90da85f-3016-4189-af33-27c5a0629157,3/1/2024,0:13,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,950,0,0,0,0,0,0,0,0,169,0,0,0,0,0,160.18,0,160.18,-285,0,0,-285,0,8.82,0,,0,673.82,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#22266,4309bdf1-3d35-45c0-8a6d-a8a410022266,3/1/2024,0:17,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1350,0,0,0,0,0,0,0,0,328,0,0,0,0,0,303.25,0,303.25,-405,0,0,-405,0,24.75,0,,0,969.75,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#A9296,52af647c-4063-42da-86fd-2cf616aa9296,3/1/2024,2:54,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,700,0,0,0,0,0,0,0,0,273,0,0,0,0,0,241.21,0,241.21,-210,0,0,-210,0,31.79,0,,0,521.79,8/1/2024,Paid,,,,,01QGXUUH0TSC
,,,3/1/2024,,,,Unknown,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad spend,-2904.91,-2904.91,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9566B,7049f770-4317-448c-8fe3-f3aaca99566b,3/1/2024,18:54,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,2620,0,0,0,0,0,-520,0,-520,94,0,0,0,0,0,122.13,0,122.13,-630,0,28.13,-601.87,0,0,0,,0,1470,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#AAC3E,f7f3a3ce-bbe5-4e76-a299-638ccfbaac3e,3/1/2024,20:02,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1275,0,0,0,0,0,0,0,0,199,0,0,0,0,0,324.03,0,324.03,-382.5,0,125.03,-257.47,0,0,0,,0,892.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#F45A3,7b7e8c70-7417-4b79-8a58-2fef5fdf45a3,3/1/2024,20:18,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,2870,0,0,0,0,0,-520,0,-520,199,0,0,0,0,0,454.9,0,454.9,-705,0,255.9,-449.1,0,0,0,,0,1645,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#E2C89,6f7edb2a-1fe9-4602-a2ac-86837c7e2c89,3/1/2024,21:04,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1500,0,0,0,0,0,0,0,0,89,0,0,0,0,0,117.39,0,117.39,-450,0,28.39,-421.61,0,0,0,,0,1050,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#A401D,74b93cdc-bd0b-4c3f-8c51-2edc2e3a401d,3/1/2024,22:34,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,4770,0,0,0,0,0,-520,0,-520,204,0,0,0,0,0,482.4,0,482.4,-1275,0,278.4,-996.6,0,0,0,,0,2975,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#0EB2C,c1894f75-b556-4906-96d5-75d292c0eb2c,3/1/2024,23:21,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1100,0,0,0,0,0,0,0,0,199,0,0,0,0,0,166.7,0,166.7,-330,0,0,-330,0,32.3,0,,0,802.3,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#91BD0,7dacf577-742d-4041-b76f-9062afa91bd0,3/1/2024,23:16,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1480,0,0,0,0,0,0,0,0,129,0,0,0,0,0,121.03,0,121.03,-444,0,0,-444,0,7.97,0,,0,1043.97,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#EDDDD,4b398559-bc57-407e-866e-52f759aedddd,3/1/2024,23:50,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1300,0,0,0,0,0,0,0,0,159,0,0,0,0,0,114.5,0,114.5,-390,0,0,-390,0,44.5,0,,0,954.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#F68DD,1b8f4715-ede9-484f-b172-002a950f68dd,4/1/2024,0:14,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,700,0,0,0,0,0,0,0,0,199,0,0,0,0,0,171.05,0,171.05,-210,0,0,-210,0,27.95,0,,0,517.95,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9B618,c91b4b46-bda8-4b3a-92e2-779b22c9b618,4/1/2024,0:22,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,2930,0,0,0,0,0,0,0,0,328,0,0,0,0,0,504.93,0,504.93,-879,0,176.93,-702.07,0,0,0,,0,2051,8/1/2024,Paid,,,,,01QGXUUH0TSC
,,,4/1/2024,,,,Unknown,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad spend,-1634.2,-1634.2,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#C0DDA,1f8a943c-b09f-47ec-afb8-f5e5febc0dda,4/1/2024,20:57,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1650,0,0,0,0,0,0,0,0,104,0,0,0,0,0,179.39,0,179.39,-495,0,75.39,-419.61,0,0,0,,0,1155,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#2C2E8,ce97bf40-34c1-4bd8-b52b-07842a62c2e8,4/1/2024,21:11,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,3950,0,0,0,0,0,-520,0,-520,194,0,0,0,0,0,142.78,0,142.78,-1029,0,0,-1029,0,51.22,0,,0,2452.22,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#C5C32,ea84f890-8fe3-49bc-af5e-ce7a327c5c32,4/1/2024,21:24,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1350,0,0,0,0,0,0,0,0,199,0,0,0,0,0,275.83,0,275.83,-405,0,76.83,-328.17,0,0,0,,0,945,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#BFFB6,29295947-150b-40eb-9b39-537df10bffb6,4/1/2024,21:47,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,900,0,0,0,0,0,0,0,0,94,0,0,0,0,0,146.23,0,146.23,-270,0,52.23,-217.77,0,0,0,,0,630,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#9F062,e83d6236-b30f-41ac-bdb9-265f9959f062,4/1/2024,22:42,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1725,0,0,0,0,0,0,0,0,159,0,0,0,0,0,224.35,0,224.35,-517.5,0,65.35,-452.15,0,0,0,,0,1207.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#89F5B,ee6fb9d1-0a7c-4402-866d-692925c89f5b,4/1/2024,23:38,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,2300,0,0,0,0,0,0,0,0,89,0,0,0,0,0,63.85,0,63.85,-690,0,0,-690,0,25.15,0,,0,1635.15,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#3C14E,26558237-a42c-4333-9feb-b56842d3c14e,4/1/2024,23:25,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,3130,0,0,0,0,0,0,0,0,154,0,0,0,0,0,176.95,0,176.95,-939,0,22.95,-916.05,0,0,0,,0,2191,8/1/2024,Paid,,,,,01QGXUUH0TSC
,,,5/1/2024,,,,Unknown,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad spend,-1254.82,-1254.82,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#55841,a9553c25-e17f-4b65-a8bf-65e59d355841,5/1/2024,17:00,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1850,0,0,0,0,0,0,0,0,144,0,0,0,0,0,107.25,0,107.25,-555,0,0,-555,0,36.75,0,,0,1331.75,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#3B8D5,d901b8b2-749b-476c-b917-9811a203b8d5,5/1/2024,19:25,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1350,0,0,0,0,0,0,0,0,94,0,0,0,0,0,117.05,0,117.05,-405,0,23.05,-381.95,0,0,0,,0,945,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#381BD,ccfe6549-d151-4464-911a-6b35d07381bd,5/1/2024,19:28,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1975,0,0,0,0,0,0,0,0,99,0,0,0,0,0,134.75,0,134.75,-592.5,0,35.75,-556.75,0,0,0,,0,1382.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#C7BE0,ab754eaa-63d3-49c9-8f51-425fee8c7be0,5/1/2024,21:57,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,6380,0,0,0,0,0,0,0,0,114,0,0,0,0,0,138.8,0,138.8,-1914,0,24.8,-1889.2,0,0,0,,0,4466,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#B68FB,1a50d990-1ccd-48eb-9f37-3b24d8ab68fb,5/1/2024,22:10,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1350,0,0,0,0,0,0,0,0,308,0,0,0,0,0,259.88,0,259.88,-405,0,0,-405,0,48.12,0,,0,993.12,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#13102,79a8d2e3-7800-4355-a9c9-972f97913102,5/1/2024,22:02,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,3700,0,0,0,0,0,0,0,0,199,0,0,0,0,0,267.13,0,267.13,-1110,0,68.13,-1041.87,0,0,0,,0,2590,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#32AE8,58980b30-6174-4edd-9d79-c6a5d4232ae8,5/1/2024,22:50,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,2745,0,0,0,0,0,-520,0,-520,323,0,0,0,0,0,406.08,0,406.08,-667.5,0,83.08,-584.42,0,0,0,,0,1557.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#D482C,a4a19ba8-face-4d24-99ec-09365f0d482c,5/1/2024,23:07,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,2350,0,0,0,0,0,0,0,0,199,0,0,0,0,0,281.25,0,281.25,-705,0,82.25,-622.75,0,0,0,,0,1645,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#75F01,85b4793d-f6f5-4d42-8b9d-14ff44075f01,5/1/2024,23:23,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1350,0,0,0,0,0,0,0,0,199,0,0,0,0,0,185.55,0,185.55,-405,0,0,-405,0,13.45,0,,0,958.45,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#C1C0C,2f6f5f14-a4da-4d36-ae6f-54ad07dc1c0c,5/1/2024,23:20,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1500,0,0,0,0,0,0,0,0,174,0,0,0,0,0,126.08,0,126.08,-450,0,0,-450,0,47.92,0,,0,1097.92,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#22292,2fac0c4c-ffcf-4e5c-9436-733772522292,5/1/2024,23:30,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Uber One member,2350,0,0,0,0,0,0,0,0,298,0,0,0,0,0,267.4,0,267.4,-705,0,0,-705,0,30.6,0,,0,1675.6,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#08495,9be553a0-4917-4965-a5d0-7ae45f908495,5/1/2024,23:58,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,3925,0,0,0,0,0,0,0,0,99,0,0,0,0,0,194.15,0,194.15,-1177.5,0,95.15,-1082.35,0,0,0,,0,2747.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#8FC5B,f17b18a7-4422-46ee-bf22-cbfd22f8fc5b,6/1/2024,0:00,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1350,0,0,0,0,0,0,0,0,194,0,0,0,0,0,373.18,0,373.18,-405,0,179.18,-225.82,0,0,0,,0,945,8/1/2024,Paid,,,,,01QGXUUH0TSC
