Shop ID,Order ID,Workflow ID,Order date,Order confirmed time,Dining mode,Payment Mode,Order channel,Order status,Customer Uber Membership Status,Sales (excl. tax),Tax on sales,Refunds (excl. tax),Tax on refunds,Price adjustments (excl. tax),Tax on price adjustments,Promotions on items (excl tax),Tax on promotion on items,Promotions on items (incl tax),Delivery charge (excl tax),Tax on delivery fee,Promotions on delivery charge (excl tax),Tax on promotions on delivery charge,Promotions on delivery charge (incl tax),Bag fee,Delivery fee (excl tax),Tax on delivery fee,Delivery fee (incl tax),Service fee,Tax on service fee,Service fee discount,Net service fee,Discount adjustments,Profit on delivery,Tax adjustment,Other payments description,Other payments (incl. tax),Total payout ,Payout date,Payout status,Invoice link U2R ,Invoice link C2R ,Invoice link R2E ,Retailer Loyalty ID,Payout reference ID
,#ACD61,66f5f0de-bfb0-4fd0-9729-4e0a0daacd61,1/1/2024,0:19,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Uber One member,1600,0,0,0,0,0,0,0,0,263,0,0,0,0,0,217.83,0,217.83,-480,0,0,-480,0,45.17,0,,0,1165.17,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#5CDEB,1c8c6c98-dc66-4b34-92e0-46d5aca5cdeb,31/12/2023,23:56,Delivery – partner using Uber app,Unknown,Android,Cancelled,Data not available,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-555,0,0,-555,0,0,0,,0,1295,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#1782C,4c5721c0-babd-4cfe-8385-95f11621782c,1/1/2024,1:39,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1600,0,0,0,0,0,0,0,0,94,0,0,0,0,0,62.26,0,62.26,-480,0,0,-480,0,31.74,0,,0,1151.74,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#521F4,4fdd7bc5-eace-4063-a23b-c7e0d3e521f4,1/1/2024,1:40,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,2920,0,0,0,0,0,-520,0,-520,219,0,0,0,0,0,122.54,0,122.54,-720,0,0,-720,0,96.46,0,,0,1776.46,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#76042,4e49054c-bd04-47cf-aeea-4007ec876042,1/1/2024,1:42,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,1300,0,0,0,0,0,0,0,0,199,0,0,0,0,0,311.88,0,311.88,-390,0,112.88,-277.12,0,0,0,,0,910,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#ECB9C,e21ee91c-5c44-4187-be44-c4a2d4aecb9c,1/1/2024,2:10,Delivery – partner using Uber app,Unknown,Android,Completed,Uber One member,1850,0,0,0,0,0,0,0,0,144,0,0,0,0,0,275.09,0,275.09,-555,0,131.09,-423.91,0,0,0,,0,1295,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#236B0,5893ac05-9715-4d40-b6fc-eca75cf236b0,1/1/2024,2:21,Delivery – partner using Uber app,Unknown,iOS,Unfulfilled,Data not available,1800,0,0,0,0,0,0,0,0,323,0,0,0,0,0,462.91,0,462.91,-540,0,139.91,-400.09,0,0,0,,0,1260,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#AB37B,b9145345-a5c5-4439-bd8c-ffaf233ab37b,1/1/2024,2:43,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,1850,0,0,0,0,0,0,0,0,264,0,0,0,0,0,79.18,0,79.18,-555,0,0,-555,0,184.82,0,,0,1479.82,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#B0776,0418c633-2d15-4820-8f36-37f470bb0776,1/1/2024,2:43,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Uber One member,8325,0,0,0,0,0,0,0,0,199,0,0,0,0,0,366.41,0,366.41,-2497.5,0,167.41,-2330.09,0,0,0,,0,5827.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#303ED,292c464a-20b0-47b4-b462-be178ea303ed,1/1/2024,2:25,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1650,0,0,0,0,0,0,0,0,214,0,0,0,0,0,159.72,0,159.72,-495,0,0,-495,0,54.28,0,,0,1209.28,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#7CA81,2d92f304-b421-4987-af22-b3f66eb7ca81,1/1/2024,2:58,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,2055,0,0,0,0,0,0,0,0,199,0,0,0,0,0,230.43,0,230.43,-616.5,0,31.43,-585.07,0,0,0,,0,1438.5,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#70344,2ed57b5a-c24c-43fe-aac2-17ecac470344,1/1/2024,2:56,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,2725,0,0,0,0,0,0,0,0,305,0,0,0,0,0,276.3,0,276.3,-817.5,0,0,-817.5,0,28.7,0,,0,1936.2,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#7FC42,503b5f51-4fa6-4d03-b401-1e523557fc42,1/1/2024,2:45,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,3320,0,0,0,0,0,-520,0,-520,124,0,0,0,0,0,307.26,0,307.26,-840,0,183.26,-656.74,0,0,0,,0,1960,8/1/2024,Paid,,,,,01QGXUUH0TSC
,,,1/1/2024,,,,Unknown,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ad spend,-2738.56,-2738.56,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#6E22F,cb0dc17e-2805-46db-8c0b-cc5f6386e22f,1/1/2024,20:49,Delivery – partner using Uber app,Unknown,Uber Eats web,Completed,Data not available,1350,0,0,0,0,0,0,0,0,199,0,0,0,0,0,126.48,0,126.48,-405,0,0,-405,0,72.52,0,,0,1017.52,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#E4A3A,33ba7a71-fed9-4238-919a-c26f9afe4a3a,1/1/2024,21:43,Delivery – partner using Uber app,Unknown,iOS,Completed,Data not available,3300,0,0,0,0,0,0,0,0,209,0,0,0,0,0,76.9,0,76.9,-990,0,0,-990,0,132.1,0,,0,2442.1,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#03FE1,5965f102-8fab-4dc7-b387-8e489d503fe1,1/1/2024,21:54,Delivery – partner using Uber app,Unknown,iOS,Completed,Uber One member,1300,0,0,0,0,0,0,0,0,264,0,0,0,0,0,155.93,0,155.93,-390,0,0,-390,0,108.07,0,,0,1018.07,8/1/2024,Paid,,,,,01QGXUUH0TSC
,#29259,d25c3492-466e-477a-8f00-663658229259,1/1/2024,23:46,Delivery – partner using Uber app,Unknown,Android,Completed,Data not available,2820,0,0,0,0,0,-520,0,-520,300,0,0,0,0,0,194.8,0,194.8,-690,0,0,-690,0,105.2,0,,0,1715.2,8/1/2024,Paid,,,,,01QGXUUH0TSC
